alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target
13.53 ,1.60 ,2.41 ,11.04 ,90.74 ,2.97 ,2.55 ,0.30 ,1.54 ,4.00 ,1.29 ,3.05 ,1133.07 ,0
13.19 ,4.00 ,2.46 ,23.89 ,78.95 ,1.51 ,1.50 ,0.77 ,1.57 ,5.22 ,1.09 ,2.16 ,527.76 ,1
13.42 ,1.61 ,2.79 ,17.75 ,108.76 ,2.01 ,2.49 ,0.17 ,1.56 ,4.40 ,1.07 ,2.48 ,1152.20 ,0
12.14 ,2.39 ,1.91 ,20.43 ,91.34 ,1.68 ,0.87 ,0.81 ,0.83 ,7.38 ,0.51 ,1.42 ,755.86 ,2
13.49 ,1.05 ,2.24 ,14.99 ,140.48 ,2.29 ,1.84 ,0.43 ,2.72 ,3.19 ,1.50 ,2.65 ,804.09 ,1
14.59 ,1.23 ,2.99 ,24.57 ,102.61 ,2.81 ,1.17 ,0.51 ,2.70 ,12.36 ,0.62 ,1.94 ,702.32 ,2
11.40 ,1.78 ,1.62 ,18.88 ,92.56 ,2.38 ,1.30 ,0.65 ,1.22 ,1.91 ,1.14 ,2.09 ,408.49 ,1
13.58 ,2.12 ,2.57 ,17.43 ,84.62 ,1.74 ,0.79 ,0.55 ,0.66 ,9.34 ,0.57 ,1.82 ,477.48 ,2
12.90 ,2.49 ,3.58 ,24.03 ,133.13 ,2.94 ,3.13 ,0.45 ,1.81 ,3.27 ,1.31 ,3.41 ,758.90 ,0
12.23 ,2.01 ,1.85 ,15.17 ,94.90 ,1.75 ,1.36 ,0.35 ,1.38 ,3.70 ,1.52 ,2.34 ,466.65 ,1
13.21 ,2.84 ,2.25 ,23.28 ,80.98 ,1.21 ,0.42 ,0.60 ,1.13 ,10.12 ,0.75 ,1.60 ,620.44 ,2
11.72 ,1.58 ,2.43 ,19.68 ,97.15 ,3.42 ,2.68 ,0.01 ,1.07 ,3.77 ,1.17 ,2.66 ,351.11 ,1
11.82 ,2.19 ,2.09 ,18.89 ,99.77 ,2.43 ,2.54 ,0.47 ,1.03 ,2.96 ,1.59 ,2.74 ,645.32 ,1
13.49 ,2.72 ,2.73 ,22.35 ,115.46 ,1.64 ,0.85 ,0.10 ,1.95 ,7.72 ,1.23 ,1.76 ,695.73 ,2
13.02 ,1.88 ,2.78 ,19.31 ,98.55 ,3.30 ,3.55 ,0.76 ,2.86 ,5.83 ,1.17 ,3.31 ,1270.87 ,0
13.74 ,2.15 ,2.44 ,21.97 ,105.13 ,1.39 ,0.96 ,0.35 ,1.23 ,5.56 ,0.80 ,1.24 ,518.13 ,2
13.25 ,1.17 ,1.69 ,15.53 ,147.42 ,1.92 ,1.09 ,0.29 ,1.99 ,2.89 ,0.98 ,2.65 ,737.93 ,1
13.87 ,3.23 ,2.67 ,23.96 ,105.01 ,2.27 ,0.47 ,0.33 ,0.73 ,4.83 ,1.14 ,2.32 ,615.98 ,2
11.80 ,4.00 ,2.26 ,21.60 ,85.29 ,1.86 ,1.26 ,0.86 ,1.81 ,5.08 ,1.07 ,1.94 ,531.07 ,1
13.07 ,2.74 ,2.44 ,23.89 ,97.37 ,1.85 ,1.03 ,0.46 ,1.59 ,8.77 ,0.85 ,1.97 ,709.34 ,2
11.70 ,1.29 ,3.00 ,18.37 ,89.21 ,2.59 ,2.77 ,0.57 ,2.19 ,4.59 ,1.12 ,2.35 ,624.01 ,1
13.63 ,2.11 ,2.57 ,17.35 ,84.23 ,1.73 ,0.79 ,0.55 ,0.63 ,9.36 ,0.57 ,1.81 ,471.32 ,2
11.77 ,2.95 ,2.88 ,23.58 ,102.36 ,2.00 ,0.25 ,0.37 ,1.11 ,5.10 ,1.00 ,2.34 ,562.41 ,2
13.06 ,2.72 ,2.43 ,23.87 ,97.61 ,1.84 ,1.01 ,0.46 ,1.61 ,8.77 ,0.84 ,1.96 ,709.62 ,2
11.60 ,2.22 ,2.03 ,19.16 ,89.28 ,2.46 ,2.51 ,0.25 ,1.22 ,2.07 ,1.05 ,3.25 ,299.11 ,1
11.55 ,1.11 ,1.51 ,14.96 ,145.68 ,1.77 ,1.87 ,0.16 ,2.78 ,3.34 ,1.18 ,2.10 ,821.25 ,1
12.64 ,1.19 ,2.35 ,16.85 ,122.69 ,1.42 ,1.53 ,-0.05 ,0.87 ,4.28 ,0.76 ,1.29 ,604.79 ,2
11.75 ,4.15 ,2.56 ,23.95 ,85.75 ,2.05 ,2.11 ,0.46 ,0.97 ,2.37 ,1.10 ,2.64 ,619.43 ,1
14.03 ,1.57 ,2.53 ,14.09 ,117.19 ,2.21 ,2.55 ,0.32 ,1.08 ,4.03 ,0.91 ,2.73 ,884.37 ,0
11.69 ,1.29 ,3.00 ,18.35 ,88.97 ,2.61 ,2.76 ,0.57 ,2.19 ,4.57 ,1.12 ,2.36 ,619.36 ,1
11.02 ,2.00 ,2.47 ,22.50 ,122.05 ,1.19 ,0.74 ,0.10 ,1.23 ,2.39 ,0.81 ,1.91 ,610.46 ,1
12.26 ,4.08 ,2.26 ,20.29 ,74.57 ,3.14 ,3.01 ,0.42 ,3.38 ,2.79 ,0.79 ,3.24 ,409.57 ,1
13.61 ,2.37 ,2.16 ,22.70 ,82.19 ,1.62 ,1.69 ,0.33 ,1.56 ,2.50 ,1.17 ,2.79 ,285.59 ,1
14.73 ,3.44 ,2.55 ,21.63 ,93.69 ,2.07 ,0.54 ,0.22 ,1.02 ,7.33 ,0.16 ,1.51 ,625.97 ,2
14.25 ,3.98 ,2.27 ,13.12 ,120.88 ,3.19 ,3.42 ,0.42 ,2.18 ,4.84 ,0.86 ,3.56 ,701.51 ,0
15.15 ,1.80 ,2.16 ,14.11 ,112.03 ,3.58 ,3.06 ,0.51 ,2.27 ,7.50 ,1.19 ,2.61 ,1334.97 ,0
13.37 ,1.62 ,1.72 ,24.38 ,97.32 ,1.55 ,1.17 ,0.47 ,1.64 ,2.18 ,1.23 ,2.62 ,507.97 ,1
15.25 ,1.70 ,1.94 ,14.73 ,86.61 ,2.77 ,2.19 ,0.16 ,2.10 ,4.34 ,1.35 ,3.77 ,1134.43 ,0
12.59 ,3.66 ,2.43 ,18.05 ,91.58 ,2.87 ,2.83 ,0.92 ,2.72 ,2.48 ,1.10 ,3.17 ,426.05 ,1
11.00 ,1.49 ,2.76 ,28.33 ,92.00 ,2.09 ,1.14 ,0.32 ,1.03 ,2.23 ,1.46 ,3.30 ,594.03 ,1
13.53 ,1.61 ,2.40 ,11.10 ,90.63 ,2.95 ,2.54 ,0.31 ,1.52 ,3.99 ,1.30 ,3.04 ,1136.41 ,0
13.45 ,2.25 ,2.71 ,18.35 ,105.01 ,2.76 ,2.88 ,0.46 ,1.61 ,5.71 ,1.17 ,2.95 ,1372.71 ,0
10.72 ,2.34 ,2.38 ,20.01 ,93.27 ,2.91 ,2.76 ,0.20 ,1.92 ,3.94 ,0.69 ,3.15 ,674.75 ,1
12.22 ,1.12 ,3.14 ,18.02 ,95.51 ,2.82 ,2.72 ,-0.06 ,2.21 ,2.82 ,0.87 ,3.33 ,697.30 ,1
13.02 ,1.81 ,2.19 ,19.75 ,81.37 ,2.06 ,1.40 ,0.88 ,1.81 ,2.16 ,1.08 ,2.62 ,459.44 ,1
14.26 ,1.94 ,2.94 ,15.82 ,96.35 ,3.04 ,3.20 ,-0.04 ,1.04 ,5.23 ,0.99 ,3.25 ,1068.82 ,0
13.27 ,1.40 ,2.87 ,21.41 ,103.79 ,3.06 ,3.39 ,0.56 ,1.68 ,6.96 ,1.16 ,2.62 ,1205.53 ,0
11.23 ,0.91 ,2.45 ,22.67 ,92.50 ,2.75 ,1.98 ,0.53 ,1.19 ,2.60 ,1.28 ,2.34 ,389.70 ,1
12.73 ,1.64 ,2.79 ,15.53 ,122.95 ,3.55 ,3.80 ,0.64 ,2.10 ,6.45 ,0.60 ,3.08 ,1447.44 ,0
13.08 ,2.74 ,2.43 ,23.90 ,97.95 ,1.85 ,1.00 ,0.46 ,1.60 ,8.75 ,0.85 ,1.98 ,702.05 ,2
13.00 ,1.85 ,2.49 ,18.23 ,102.86 ,2.43 ,3.09 ,0.27 ,1.49 ,3.30 ,0.93 ,3.61 ,892.06 ,0
14.01 ,1.86 ,2.77 ,18.20 ,118.79 ,3.83 ,3.25 ,0.50 ,2.00 ,8.54 ,1.14 ,2.96 ,1364.08 ,0
12.05 ,1.73 ,2.16 ,21.28 ,88.75 ,1.82 ,1.54 ,0.51 ,1.84 ,1.76 ,1.03 ,3.47 ,514.29 ,1
13.52 ,1.68 ,1.86 ,16.49 ,105.88 ,2.83 ,3.21 ,0.14 ,2.49 ,6.32 ,0.97 ,3.62 ,932.34 ,0
11.31 ,2.91 ,2.04 ,18.61 ,91.11 ,2.83 ,2.19 ,0.22 ,2.03 ,2.37 ,1.20 ,3.36 ,303.93 ,1
14.33 ,1.58 ,2.41 ,15.37 ,95.95 ,3.07 ,3.56 ,0.24 ,2.08 ,5.94 ,0.93 ,3.50 ,945.73 ,0
13.03 ,4.61 ,2.98 ,26.73 ,105.41 ,2.03 ,0.70 ,0.52 ,0.79 ,8.39 ,0.88 ,2.03 ,574.20 ,2
15.07 ,1.59 ,3.04 ,25.07 ,91.36 ,2.63 ,1.01 ,0.33 ,3.06 ,13.86 ,0.47 ,2.10 ,641.02 ,2
11.37 ,2.65 ,2.05 ,16.74 ,120.22 ,1.97 ,1.10 ,0.49 ,0.97 ,3.25 ,0.93 ,2.61 ,468.36 ,1
11.55 ,2.43 ,2.47 ,18.57 ,94.80 ,1.82 ,2.29 ,0.30 ,1.14 ,4.07 ,1.31 ,2.54 ,623.38 ,1
13.24 ,1.63 ,2.89 ,17.96 ,123.55 ,3.13 ,2.52 ,0.36 ,1.54 ,6.89 ,1.50 ,3.09 ,1471.95 ,0
13.19 ,3.51 ,2.41 ,19.15 ,108.04 ,2.48 ,2.62 ,0.21 ,1.60 ,4.12 ,1.04 ,2.35 ,701.18 ,0
11.09 ,4.24 ,2.67 ,19.40 ,87.80 ,3.24 ,2.91 ,0.37 ,3.12 ,3.28 ,0.88 ,3.46 ,364.84 ,1
14.54 ,1.78 ,2.75 ,16.52 ,114.31 ,3.62 ,3.65 ,0.27 ,1.79 ,8.06 ,0.71 ,2.45 ,1712.60 ,0
15.21 ,1.60 ,1.93 ,10.86 ,106.43 ,2.94 ,4.06 ,0.06 ,2.75 ,7.33 ,1.15 ,2.97 ,1525.58 ,0
13.51 ,1.61 ,2.93 ,15.27 ,110.70 ,2.94 ,3.61 ,0.51 ,1.89 ,7.98 ,1.36 ,2.68 ,1834.76 ,0
12.82 ,1.83 ,2.55 ,19.77 ,110.56 ,2.93 ,3.82 ,0.16 ,2.27 ,5.75 ,0.93 ,2.46 ,1282.92 ,0
13.14 ,0.98 ,2.55 ,15.89 ,106.92 ,2.18 ,0.95 ,0.38 ,0.44 ,3.22 ,1.12 ,1.19 ,720.84 ,1
14.62 ,1.82 ,1.85 ,14.07 ,100.01 ,2.46 ,3.00 ,0.32 ,2.30 ,5.22 ,1.51 ,3.02 ,1083.42 ,0
13.66 ,1.38 ,2.26 ,19.83 ,100.56 ,2.02 ,2.03 ,0.47 ,1.73 ,2.89 ,0.69 ,2.94 ,304.86 ,1
12.92 ,2.21 ,2.74 ,21.37 ,94.26 ,3.02 ,2.71 ,-0.04 ,1.94 ,4.53 ,1.23 ,3.56 ,960.82 ,0
13.56 ,1.85 ,2.42 ,23.17 ,110.98 ,2.31 ,1.58 ,0.39 ,1.83 ,7.32 ,0.28 ,1.21 ,387.45 ,2
12.63 ,1.63 ,2.71 ,23.38 ,80.75 ,1.48 ,1.08 ,0.38 ,1.67 ,3.73 ,0.78 ,2.83 ,428.26 ,1
11.99 ,4.27 ,2.12 ,21.64 ,110.58 ,1.65 ,1.07 ,0.25 ,1.10 ,8.87 ,0.39 ,1.64 ,593.36 ,2
12.90 ,2.21 ,2.33 ,21.59 ,97.74 ,1.48 ,0.92 ,0.38 ,1.09 ,10.38 ,0.68 ,1.69 ,701.61 ,2
11.60 ,1.47 ,2.22 ,22.38 ,82.03 ,2.93 ,3.48 ,0.52 ,1.85 ,3.69 ,0.70 ,2.74 ,325.02 ,1
13.96 ,1.58 ,2.32 ,12.11 ,92.89 ,2.88 ,3.26 ,0.24 ,3.06 ,7.62 ,1.24 ,3.46 ,1673.96 ,0
12.95 ,3.46 ,1.79 ,21.83 ,112.67 ,1.51 ,1.19 ,0.30 ,0.77 ,5.85 ,0.50 ,2.03 ,548.63 ,2
13.07 ,2.86 ,2.22 ,18.87 ,112.16 ,1.47 ,0.76 ,0.39 ,0.82 ,5.40 ,1.10 ,1.45 ,487.23 ,2
12.86 ,3.35 ,2.57 ,21.76 ,112.25 ,1.90 ,0.80 ,0.37 ,1.07 ,5.21 ,0.72 ,1.90 ,534.83 ,2
12.93 ,5.05 ,2.17 ,18.40 ,94.17 ,2.22 ,0.61 ,0.45 ,1.11 ,5.07 ,1.07 ,1.74 ,527.31 ,2
15.01 ,1.90 ,2.61 ,11.03 ,84.17 ,3.30 ,3.67 ,0.24 ,3.08 ,5.21 ,1.50 ,2.35 ,1039.13 ,0
14.64 ,1.52 ,2.06 ,25.84 ,85.80 ,1.49 ,1.42 ,0.13 ,1.32 ,3.15 ,1.40 ,2.58 ,452.04 ,1
11.95 ,3.91 ,2.27 ,21.06 ,118.49 ,1.23 ,1.29 ,0.11 ,1.10 ,9.20 ,0.51 ,1.42 ,573.68 ,2
13.02 ,2.06 ,2.04 ,20.44 ,98.78 ,2.36 ,3.11 ,0.67 ,2.27 ,6.24 ,0.83 ,2.64 ,959.50 ,0
11.86 ,3.51 ,2.22 ,19.46 ,88.14 ,1.46 ,0.68 ,0.44 ,0.83 ,9.55 ,0.82 ,1.70 ,668.58 ,2
10.35 ,2.26 ,2.83 ,23.49 ,81.94 ,2.61 ,1.74 ,0.32 ,1.57 ,2.97 ,0.95 ,2.76 ,624.10 ,1
12.98 ,3.54 ,2.31 ,13.86 ,138.78 ,3.26 ,2.91 ,0.12 ,1.78 ,5.72 ,0.79 ,3.29 ,714.47 ,0
13.41 ,1.82 ,2.67 ,18.18 ,103.19 ,2.62 ,2.96 ,-0.04 ,2.18 ,5.37 ,1.51 ,3.76 ,1369.34 ,0
11.84 ,2.33 ,3.17 ,20.93 ,122.74 ,1.65 ,1.09 ,-0.43 ,1.49 ,2.40 ,1.03 ,2.47 ,584.18 ,1
11.81 ,2.72 ,2.58 ,16.15 ,80.47 ,2.46 ,1.88 ,0.31 ,1.94 ,1.84 ,0.92 ,3.21 ,302.30 ,1
12.51 ,2.71 ,3.42 ,21.04 ,125.27 ,3.04 ,2.16 ,0.65 ,2.07 ,3.95 ,0.93 ,3.11 ,727.09 ,0
12.64 ,2.88 ,2.94 ,21.95 ,114.67 ,1.49 ,1.11 ,0.65 ,1.27 ,11.02 ,0.25 ,1.66 ,513.17 ,2
11.79 ,4.58 ,1.99 ,17.99 ,121.09 ,1.32 ,0.37 ,0.18 ,1.16 ,8.34 ,0.81 ,2.02 ,885.47 ,2
15.64 ,4.18 ,2.55 ,20.55 ,115.70 ,2.85 ,2.82 ,0.53 ,1.60 ,4.59 ,1.01 ,3.56 ,1045.82 ,0
11.69 ,4.83 ,2.88 ,21.19 ,93.79 ,1.22 ,0.36 ,0.62 ,0.68 ,4.21 ,0.94 ,1.24 ,681.67 ,2
12.61 ,3.65 ,2.43 ,18.11 ,91.69 ,2.88 ,2.83 ,0.92 ,2.72 ,2.40 ,1.10 ,3.18 ,420.32 ,1
12.64 ,2.09 ,2.56 ,21.88 ,113.42 ,3.20 ,3.48 ,0.14 ,1.54 ,6.02 ,1.20 ,2.60 ,1019.26 ,0
14.44 ,1.75 ,1.84 ,18.69 ,104.86 ,2.90 ,2.99 ,0.27 ,2.05 ,4.86 ,0.70 ,2.97 ,918.40 ,0
11.83 ,2.21 ,2.09 ,18.84 ,99.57 ,2.45 ,2.56 ,0.47 ,1.04 ,3.00 ,1.58 ,2.73 ,653.02 ,1
12.92 ,1.57 ,2.90 ,14.43 ,96.80 ,3.40 ,3.29 ,0.10 ,1.88 ,5.12 ,1.10 ,3.51 ,1071.72 ,0
12.62 ,1.20 ,2.35 ,16.86 ,122.46 ,1.43 ,1.54 ,-0.05 ,0.86 ,4.30 ,0.76 ,1.29 ,607.71 ,2
13.29 ,1.57 ,1.97 ,20.48 ,81.21 ,2.60 ,2.16 ,0.21 ,1.87 ,2.38 ,1.28 ,3.31 ,278.06 ,1
12.90 ,1.53 ,1.90 ,15.09 ,107.77 ,2.26 ,2.41 ,0.06 ,1.38 ,3.35 ,1.35 ,3.11 ,950.09 ,0
13.93 ,4.55 ,2.52 ,23.10 ,80.35 ,1.71 ,0.90 ,0.62 ,1.09 ,7.44 ,0.53 ,2.01 ,608.88 ,2
12.64 ,1.45 ,2.65 ,22.71 ,79.54 ,2.95 ,2.86 ,0.63 ,2.22 ,3.98 ,0.81 ,2.96 ,335.91 ,1
13.55 ,2.61 ,2.40 ,19.37 ,86.23 ,1.29 ,0.45 ,0.63 ,0.57 ,4.94 ,0.89 ,2.46 ,773.47 ,2
12.71 ,1.67 ,2.79 ,15.50 ,123.00 ,3.53 ,3.80 ,0.65 ,2.10 ,6.40 ,0.60 ,3.07 ,1446.24 ,0
12.51 ,1.45 ,2.58 ,18.76 ,104.71 ,2.51 ,2.03 ,0.15 ,1.70 ,3.78 ,1.02 ,2.74 ,1103.75 ,0
12.47 ,1.59 ,2.69 ,25.62 ,80.37 ,1.70 ,1.85 ,0.47 ,0.98 ,4.34 ,0.67 ,2.63 ,496.66 ,1
13.88 ,4.30 ,2.79 ,22.39 ,100.91 ,1.92 ,0.69 ,0.49 ,1.23 ,8.18 ,0.88 ,1.99 ,576.29 ,2
13.89 ,3.44 ,1.99 ,21.36 ,85.68 ,1.37 ,0.27 ,0.22 ,1.31 ,11.00 ,0.63 ,1.89 ,622.48 ,2
14.65 ,1.52 ,2.06 ,25.75 ,85.65 ,1.48 ,1.43 ,0.13 ,1.33 ,3.13 ,1.40 ,2.57 ,441.56 ,1
12.81 ,2.24 ,2.62 ,27.50 ,105.24 ,2.21 ,1.22 ,0.74 ,2.01 ,6.96 ,0.47 ,1.58 ,410.55 ,2
12.71 ,1.67 ,2.79 ,15.55 ,123.26 ,3.54 ,3.80 ,0.64 ,2.10 ,6.40 ,0.60 ,3.07 ,1442.18 ,0
12.87 ,1.47 ,2.89 ,16.42 ,94.04 ,2.70 ,3.01 ,-0.04 ,2.20 ,5.12 ,1.43 ,3.48 ,1289.38 ,0
14.68 ,4.30 ,2.87 ,18.74 ,85.21 ,1.67 ,0.88 ,0.30 ,1.82 ,8.42 ,0.24 ,1.91 ,444.30 ,2
12.28 ,1.35 ,2.17 ,14.45 ,97.22 ,2.32 ,2.71 ,0.43 ,1.26 ,3.94 ,1.24 ,2.79 ,1010.93 ,0
11.96 ,3.91 ,2.26 ,20.98 ,118.30 ,1.24 ,1.28 ,0.11 ,1.10 ,9.18 ,0.52 ,1.42 ,569.60 ,2
12.87 ,3.24 ,2.47 ,23.72 ,92.31 ,1.93 ,0.89 ,0.19 ,1.40 ,9.21 ,0.41 ,1.94 ,622.02 ,2
12.04 ,4.83 ,2.59 ,27.56 ,105.19 ,2.26 ,2.09 ,0.23 ,1.55 ,1.93 ,1.17 ,3.61 ,334.28 ,1
12.75 ,1.32 ,2.42 ,15.73 ,107.67 ,2.16 ,1.08 ,0.26 ,0.55 ,3.33 ,1.18 ,2.14 ,748.14 ,1
13.90 ,4.53 ,2.52 ,23.00 ,80.53 ,1.73 ,0.89 ,0.62 ,1.08 ,7.47 ,0.53 ,2.00 ,607.93 ,2
12.05 ,3.67 ,2.17 ,14.55 ,86.06 ,1.70 ,1.14 ,0.36 ,0.45 ,3.08 ,0.67 ,2.24 ,340.36 ,1
12.27 ,1.42 ,1.98 ,23.88 ,91.60 ,1.39 ,1.91 ,0.83 ,1.64 ,3.47 ,1.33 ,2.47 ,525.82 ,1
12.75 ,2.78 ,2.17 ,17.74 ,117.60 ,2.04 ,1.39 ,0.48 ,0.69 ,2.40 ,0.99 ,2.55 ,549.73 ,1
12.82 ,1.39 ,2.38 ,24.57 ,90.58 ,1.97 ,1.61 ,1.14 ,1.60 ,2.08 ,1.32 ,2.84 ,503.50 ,1
13.52 ,2.57 ,2.15 ,20.96 ,102.07 ,1.59 ,0.35 ,0.50 ,0.76 ,5.02 ,0.41 ,2.51 ,604.87 ,2
15.10 ,1.55 ,2.31 ,24.30 ,103.81 ,2.90 ,1.46 ,0.54 ,2.44 ,12.33 ,0.85 ,1.67 ,659.43 ,2
13.54 ,1.02 ,2.72 ,18.31 ,100.11 ,2.38 ,2.48 ,0.44 ,1.59 ,5.12 ,1.31 ,3.08 ,1255.28 ,0
12.83 ,3.36 ,2.57 ,21.77 ,112.42 ,1.89 ,0.79 ,0.36 ,1.07 ,5.27 ,0.71 ,1.91 ,538.97 ,2
14.74 ,3.05 ,2.43 ,22.33 ,101.30 ,1.42 ,0.61 ,0.88 ,0.69 ,4.63 ,1.13 ,1.68 ,505.22 ,2
12.34 ,1.50 ,2.03 ,21.12 ,83.56 ,1.52 ,2.08 ,0.46 ,1.51 ,3.59 ,1.03 ,3.00 ,503.16 ,1
13.28 ,1.10 ,1.86 ,16.82 ,157.86 ,2.22 ,1.25 ,0.15 ,2.42 ,3.04 ,1.16 ,3.31 ,753.57 ,1
15.41 ,1.74 ,2.23 ,15.37 ,93.49 ,2.87 ,2.53 ,0.43 ,2.14 ,4.34 ,1.15 ,3.73 ,1136.09 ,0
12.95 ,3.46 ,1.79 ,21.89 ,112.83 ,1.51 ,1.22 ,0.29 ,0.77 ,5.84 ,0.50 ,2.05 ,550.28 ,2
13.68 ,2.16 ,3.02 ,17.23 ,107.35 ,2.30 ,2.70 ,0.31 ,1.29 ,4.07 ,1.35 ,2.67 ,1069.63 ,0
13.09 ,2.56 ,2.72 ,17.91 ,110.30 ,2.85 ,3.43 ,0.46 ,2.86 ,6.58 ,1.10 ,3.41 ,1106.52 ,0
12.51 ,1.45 ,2.58 ,18.81 ,103.99 ,2.51 ,2.02 ,0.15 ,1.70 ,3.80 ,1.02 ,2.74 ,1106.78 ,0
11.59 ,1.10 ,2.06 ,18.58 ,101.33 ,1.68 ,0.59 ,0.86 ,1.26 ,8.32 ,0.58 ,1.67 ,653.18 ,2
12.59 ,3.25 ,2.23 ,20.05 ,104.26 ,1.48 ,0.34 ,0.61 ,1.19 ,3.71 ,0.90 ,1.77 ,880.52 ,2
14.43 ,1.69 ,2.23 ,11.16 ,101.27 ,2.93 ,2.39 ,0.03 ,1.54 ,4.48 ,1.16 ,3.37 ,1108.44 ,0
12.43 ,1.77 ,2.07 ,19.37 ,78.84 ,2.44 ,2.29 ,-0.15 ,1.31 ,2.89 ,1.20 ,3.56 ,342.18 ,1
13.42 ,1.45 ,2.97 ,23.82 ,79.98 ,2.96 ,2.68 ,0.35 ,2.01 ,3.76 ,1.57 ,3.43 ,440.87 ,1
13.38 ,1.31 ,2.00 ,19.70 ,81.67 ,1.69 ,1.54 ,0.51 ,1.50 ,2.57 ,1.17 ,2.56 ,583.16 ,1
11.64 ,3.18 ,1.97 ,17.46 ,111.83 ,1.45 ,1.31 ,0.30 ,0.85 ,2.33 ,1.07 ,2.37 ,527.80 ,1
12.18 ,1.44 ,2.76 ,19.14 ,106.40 ,2.75 ,3.58 ,0.20 ,1.41 ,6.40 ,1.22 ,3.63 ,1326.61 ,0
13.25 ,1.97 ,2.96 ,22.02 ,99.66 ,2.46 ,2.37 ,0.39 ,1.48 ,4.08 ,1.33 ,3.80 ,841.46 ,0
13.51 ,1.91 ,2.72 ,30.83 ,131.56 ,3.19 ,3.07 ,0.19 ,1.84 ,3.44 ,1.61 ,3.62 ,944.74 ,1
12.50 ,1.70 ,2.23 ,11.68 ,94.62 ,2.65 ,1.98 ,0.41 ,0.99 ,4.58 ,1.08 ,3.35 ,1141.10 ,0
15.00 ,1.88 ,2.61 ,11.03 ,84.46 ,3.32 ,3.68 ,0.24 ,3.07 ,5.23 ,1.50 ,2.36 ,1040.74 ,0
11.69 ,2.18 ,1.84 ,24.13 ,82.66 ,1.13 ,1.81 ,0.61 ,1.83 ,3.57 ,1.17 ,2.39 ,495.10 ,1
11.83 ,2.18 ,2.09 ,18.82 ,99.68 ,2.45 ,2.55 ,0.47 ,1.03 ,2.98 ,1.59 ,2.71 ,652.93 ,1
12.33 ,2.20 ,2.23 ,16.77 ,125.38 ,2.96 ,3.64 ,0.15 ,2.06 ,6.85 ,0.39 ,3.49 ,817.68 ,0
12.52 ,2.26 ,3.17 ,22.43 ,125.92 ,2.87 ,2.57 ,0.12 ,1.59 ,4.84 ,0.76 ,2.73 ,755.79 ,0
13.56 ,1.03 ,2.72 ,18.29 ,99.89 ,2.36 ,2.48 ,0.44 ,1.59 ,5.11 ,1.31 ,3.08 ,1260.80 ,0
12.18 ,1.44 ,2.75 ,19.20 ,106.06 ,2.74 ,3.59 ,0.20 ,1.40 ,6.42 ,1.22 ,3.63 ,1333.47 ,0
14.51 ,2.02 ,2.70 ,15.77 ,106.55 ,2.59 ,3.55 ,0.44 ,2.23 ,9.48 ,1.25 ,2.95 ,1370.62 ,0
15.72 ,1.47 ,2.35 ,14.36 ,91.22 ,3.09 ,3.00 ,0.31 ,2.31 ,5.38 ,1.41 ,2.49 ,1068.03 ,0
14.61 ,1.83 ,1.84 ,14.08 ,99.97 ,2.46 ,3.03 ,0.32 ,2.30 ,5.22 ,1.51 ,2.99 ,1081.72 ,0
13.54 ,2.61 ,2.41 ,19.42 ,86.13 ,1.29 ,0.44 ,0.63 ,0.57 ,4.97 ,0.90 ,2.48 ,773.26 ,2
11.21 ,0.90 ,2.45 ,18.34 ,93.06 ,2.21 ,2.16 ,0.43 ,2.04 ,2.93 ,0.38 ,3.45 ,477.01 ,1
13.91 ,1.84 ,2.79 ,15.72 ,95.39 ,3.34 ,3.20 ,0.17 ,1.37 ,6.36 ,1.19 ,2.90 ,1372.38 ,0
12.38 ,1.58 ,2.18 ,22.13 ,104.04 ,2.68 ,2.05 ,0.25 ,1.33 ,2.25 ,1.07 ,3.05 ,335.64 ,1
16.24 ,1.72 ,2.12 ,13.00 ,102.14 ,3.48 ,2.74 ,-0.08 ,2.17 ,5.29 ,0.91 ,3.19 ,1137.21 ,0
13.53 ,1.92 ,2.68 ,14.74 ,118.60 ,3.14 ,2.70 ,0.18 ,1.37 ,4.44 ,1.07 ,3.15 ,942.11 ,0
13.24 ,4.36 ,2.05 ,22.44 ,87.68 ,1.48 ,0.12 ,0.74 ,1.37 ,7.66 ,0.56 ,1.99 ,521.60 ,2
14.24 ,1.86 ,2.76 ,19.14 ,104.34 ,3.11 ,2.80 ,0.24 ,1.63 ,3.55 ,1.60 ,4.08 ,838.98 ,0
12.08 ,1.40 ,2.17 ,26.53 ,91.04 ,1.84 ,2.66 ,0.25 ,2.24 ,1.94 ,1.15 ,2.92 ,368.12 ,1
12.72 ,0.71 ,1.96 ,18.13 ,104.19 ,2.63 ,1.64 ,0.43 ,1.12 ,2.79 ,0.91 ,1.86 ,755.29 ,1
14.78 ,1.38 ,2.00 ,15.85 ,115.91 ,3.25 ,3.87 ,0.30 ,1.68 ,8.54 ,0.78 ,2.92 ,1627.82 ,0
12.80 ,3.77 ,2.59 ,22.32 ,97.22 ,1.96 ,0.39 ,0.73 ,1.43 ,7.81 ,0.38 ,1.23 ,749.07 ,2
12.01 ,3.89 ,2.35 ,19.66 ,99.35 ,2.33 ,2.36 ,0.24 ,2.08 ,4.57 ,1.18 ,3.52 ,760.52 ,0
